tag,subject tag title,kind,level,parent,path,description,direct documents,total documents
applications,Applications,topic,1,,/applications,Application protocols in general,39,831
acap,ACAP,technology,2,applications,/applications/acap,Application Configuration Access Protocol,6,6
accessibility,Accessibility,topic,2,applications,/applications/accessibility,Accessibility of Internet communications,6,6
alto,ALTO,technology,2,applications,/applications/alto,Application-layer traffic optimization,18,18
apex,APEX,technology,2,applications,/applications/apex,Application Exchange (APEX) messaging,4,4
beep,BEEP,technology,2,applications,/applications/beep,Blocks Extensible Exchange Protocol,14,14
calendaring,Calendaring,topic,2,applications,/applications/calendaring,Calendaring and scheduling,5,38
caldav,CalDAV,technology,3,calendaring,/applications/calendaring/caldav,CalDAV calendar access,11,11
icalendar,iCalendar,technology,3,calendaring,/applications/calendaring/icalendar,The iCalendar format,24,24
time-zones,Time Zones,technology,3,calendaring,/applications/calendaring/time-zones,Time zone data distribution and timestamps,7,7
directory-services,Directory Services,topic,2,applications,/applications/directory-services,Directory access and synchronization,19,175
ldap,LDAP,technology,3,directory-services,/applications/directory-services/ldap,Lightweight Directory Access Protocol,119,119
x-500,X.500,technology,3,directory-services,/applications/directory-services/x-500,The X.500 directory,83,83
e-commerce,E-commerce,topic,2,applications,/applications/e-commerce,Electronic commerce and payment protocols,6,6
ebpf,eBPF,technology,2,applications,/applications/ebpf,eBPF instruction set and conventions,1,1
finger,Finger,technology,2,applications,/applications/finger,The Finger user information protocol,6,6
ftp,FTP,technology,2,applications,/applications/ftp,The File Transfer Protocol,86,86
geolocation,Geolocation,topic,2,applications,/applications/geolocation,"Location information: formats, privacy and conveyance",45,45
gopher,Gopher,technology,2,applications,/applications/gopher,The Gopher document retrieval protocol,4,4
ipp,IPP,technology,2,applications,/applications/ipp,The Internet Printing Protocol,25,25
irc,IRC,technology,2,applications,/applications/irc,Internet Relay Chat,7,7
lpd,LPD,technology,2,applications,/applications/lpd,The Line Printer Daemon protocol,2,2
netbios,NetBIOS,technology,2,applications,/applications/netbios,NetBIOS services over TCP/IP,8,8
p2p,Peer-to-Peer,technology,2,applications,/applications/p2p,Peer-to-peer overlay networks and applications,45,45
rlogin,rlogin,technology,2,applications,/applications/rlogin,The BSD rlogin remote login protocol,2,2
small-services,Small Services,technology,2,applications,/applications/small-services,"The TCP/UDP small services: Echo, Discard, Chargen, QOTD, Daytime, Active Users",7,7
sockets-api,Sockets API,technology,2,applications,/applications/sockets-api,Sockets API extensions,9,9
storage,Storage,topic,2,applications,/applications/storage,Storage access and block/file protocols over IP,6,146
fibre-channel,Fibre Channel,technology,3,storage,/applications/storage/fibre-channel,Fibre Channel over IP transports,29,29
iscsi,iSCSI,technology,3,storage,/applications/storage/iscsi,Internet SCSI,42,42
nfs,NFS,technology,3,storage,/applications/storage/nfs,The Network File System,56,56
onc-rpc,ONC RPC,technology,3,storage,/applications/storage/onc-rpc,ONC remote procedure call and XDR,36,36
rdma,RDMA,technology,3,storage,/applications/storage/rdma,Remote direct memory access protocols,21,21
telnet,Telnet,technology,2,applications,/applications/telnet,The Telnet protocol and its options,125,125
tftp,TFTP,technology,2,applications,/applications/tftp,The Trivial File Transfer Protocol,16,16
tip,TIP,technology,2,applications,/applications/tip,Transaction Internet Protocol,2,2
vcard,vCard,technology,2,applications,/applications/vcard,vCard contact data,12,21
carddav,CardDAV,technology,3,vcard,/applications/vcard/carddav,CardDAV address book access,9,9
x-window-system,X Window System,technology,2,applications,/applications/x-window-system,The X Window System protocol,2,2
arpanet,ARPANET,topic,1,,/arpanet,"The ARPANET: its host and network protocols, operations and working notes",486,571
ncp,NCP,technology,2,arpanet,/arpanet/ncp,ARPANET Network Control Protocol (historic host-host protocol),31,31
network-graphics,Network Graphics,technology,2,arpanet,/arpanet/network-graphics,Early network graphics protocols and formats,37,37
rje,Remote Job Entry,technology,2,arpanet,/arpanet/rje,Remote job entry on the early network,17,17
data-formats,Data Formats,topic,1,,/data-formats,"Data formats, encodings and representations in general",25,496
abnf,ABNF,technology,2,data-formats,/data-formats/abnf,Augmented BNF and formal syntax notations,9,9
asn1,ASN.1,technology,2,data-formats,/data-formats/asn1,ASN.1 modules and encoding rules,29,29
cbor,CBOR,technology,2,data-formats,/data-formats/cbor,Concise Binary Object Representation,38,43
cddl,CDDL,technology,3,cbor,/data-formats/cbor/cddl,Concise Data Definition Language,5,5
compression,Compression,topic,2,data-formats,/data-formats/compression,Lossless data compression formats,35,54
brotli,Brotli,technology,3,compression,/data-formats/compression/brotli,Brotli compression,4,4
deflate,DEFLATE,technology,3,compression,/data-formats/compression/deflate,DEFLATE and zlib,8,8
gzip,gzip,technology,3,compression,/data-formats/compression/gzip,The gzip file format,2,2
ipcomp,IPComp,technology,3,compression,/data-formats/compression/ipcomp,IP payload compression,5,5
zstd,Zstandard,technology,3,compression,/data-formats/compression/zstd,Zstandard compression,5,5
content-negotiation,Content Negotiation,technology,2,data-formats,/data-formats/content-negotiation,Media feature and content negotiation,17,17
data-encodings,Data Encodings,technology,2,data-formats,/data-formats/data-encodings,Base16/32/45/64 and related textual data encodings,4,4
internationalization,Internationalization,topic,2,data-formats,/data-formats/internationalization,Internationalization of text in protocols,37,136
character-sets,Character Sets,technology,3,internationalization,/data-formats/internationalization/character-sets,Character set registration and use,53,53
language-tags,Language Tags,technology,3,internationalization,/data-formats/internationalization/language-tags,Language tags and matching,12,12
precis,PRECIS,technology,3,internationalization,/data-formats/internationalization/precis,PRECIS internationalized string handling,9,9
unicode,Unicode,technology,3,internationalization,/data-formats/internationalization/unicode,Unicode usage in Internet protocols,31,31
utf-8,UTF-8,technology,3,internationalization,/data-formats/internationalization/utf-8,The UTF-8 encoding,17,17
json,JSON,technology,2,data-formats,/data-formats/json,JSON and JSON-based formats,78,83
geojson,GeoJSON,technology,3,json,/data-formats/json/geojson,GeoJSON geographic data,2,2
jsonpath,JSONPath,technology,3,json,/data-formats/json/jsonpath,JSONPath query expressions,3,3
markdown,Markdown,technology,2,data-formats,/data-formats/markdown,Markdown text formats,2,2
sgml,SGML,technology,2,data-formats,/data-formats/sgml,SGML-based document interchange,5,5
